"Name","Category","Price","Currency","Description","Available"
"Jui Coconut Oil","Oil and Ghee",7.99,"CAD","350ml","1"
"Kissan Desi Ghee","Oil and Ghee",26.99,"CAD","908gm","1"
"Parachute Coconut Oil","Oil and Ghee",14.99,"CAD","1 Liter","1"
"Premium Ghee","Oil and Ghee",19.99,"CAD","325gm","1"
"Pure Coconut Oil","Oil and Ghee",8.99,"CAD","500ml","1"
"Pure Coconut Oil","Oil and Ghee",3.99,"CAD","200ml","1"
"Sesami Oil","Oil and Ghee",8.99,"CAD","250ml","1"
"Teer Mustard Oil","Oil and Ghee",5.99,"CAD","500ml","0"
"Vegetable Oil","Oil and Ghee",13.99,"CAD","3 Liters","0"
"Radhuni Beef Masala","Radhuni Spices",2.49,"CAD","100gm","1"
"Radhuni Biryani Masala","Radhuni Spices",2.49,"CAD","35gm","1"
"Radhuni Borhani","Radhuni Spices",2.49,"CAD","50gm","1"
"Radhuni Chotpoti Masala","Radhuni Spices",2.49,"CAD","50gm","1"
"Radhuni Cumin Powder","Radhuni Spices",7.99,"CAD","400gm","0"
"Radhuni Cumin Powder","Radhuni Spices",3.99,"CAD","200gm","0"
"Radhuni Fish Masala","Radhuni Spices",2.49,"CAD","100gm","1"
"Radhuni Garam Masala","Radhuni Spices",3.99,"CAD","100gm","1"
"Radhuni Hyderabadi Biryani","Radhuni Spices",2.49,"CAD","45gm","1"
"Radhuni Kacchi Biryani","Radhuni Spices",2.49,"CAD","40gm","1"
"Radhuni Kala Bhuni","Radhuni Spices",2.49,"CAD","80gm","0"
"Radhuni Meat Masala","Radhuni Spices",2.49,"CAD","100gm","1"
"Radhuni Mezbani Masala","Radhuni Spices",2.49,"CAD","68gm","1"
"Radhuni Rezala Masala","Radhuni Spices",2.49,"CAD","35gm","1"
"Radhuni Roast Masala","Radhuni Spices",2.49,"CAD","35gm","1"
"Radhuni Tehari Masala","Radhuni Spices",2.49,"CAD","50gm","1"
"Aromatic Broken Rice","Rice",8.99,"CAD","4Lb","1"
"Banoful Chinigura Rice","Rice",6.99,"CAD","1kg","1"
"Banoful Kalijeera Rice","Rice",23.99,"CAD","10 lbs","1"
